Date,VWAP
2015-01-02,24.27066120403926
2015-01-05,23.69297324662165
2015-01-06,23.545767757453905
2015-01-07,23.866054857887466
2015-01-08,24.612397582141842
2015-01-09,24.81433381386101
2015-01-12,24.46002446806143
2015-01-13,24.552486461364
2015-01-14,24.320221479912142
2015-01-15,23.931883813469923
2015-01-16,23.579055614459065
2015-01-20,23.979962195426975
2015-01-21,24.326877908576254
2015-01-22,24.749236342303448
2015-01-23,25.02071116898809
2015-01-26,25.168645875370903
2015-01-27,24.457807027994942
2015-01-28,25.795896060868685
2015-01-29,26.159089784250245
2015-01-30,26.18571576803353
2015-02-02,26.176096804177376
2015-02-03,26.284836140169357
2015-02-04,26.508956686419268
2015-02-05,26.690813682746825
2015-02-06,26.55788889948687
2015-02-09,26.58461942154122
2015-02-10,27.055438158762694
2015-02-11,27.647284527534342
2015-02-12,28.182715637201294
2015-02-13,28.21983720505748
2015-02-17,28.488669857957365
2015-02-18,28.586691946333698
2015-02-19,28.650556413731362
2015-02-20,28.74263148122709
2015-02-23,29.382023713390115
2015-02-24,29.477079290817205
2015-02-25,28.853285576226124
2015-02-26,28.80576245696258
2015-02-27,28.758970826221972
2015-03-02,28.788673341945735
2015-03-03,28.736694709007836
2015-03-04,28.6958598169462
2015-03-05,28.28742473053313
2015-03-06,28.384700255802112
2015-03-09,28.35054235863684
2015-03-10,27.88715377592422
2015-03-11,27.411143803810646
2015-03-12,27.549267791731143
2015-03-13,27.59308558096972
2015-03-16,27.682198350694602
2015-03-17,28.21983566633487
2015-03-18,28.516145997182964
2015-03-19,28.527281234959627
2015-03-20,28.1790002837885
2015-03-23,28.336433752053182
2015-03-24,28.31489368334681
2015-03-25,27.74234426570654
2015-03-26,27.604219361064327
2015-03-27,27.54036296711156
2015-03-30,27.979238867102158
2015-03-31,27.8685906652066
2015-04-01,27.659911190294697
2015-04-02,27.852994398723137
2015-04-06,28.158946847718585
2015-04-07,28.227273162467934
2015-04-08,27.99409487507636
2015-04-09,28.05572777545223
2015-04-10,28.187164846274193
2015-04-13,28.36985170713
2015-04-14,28.181971294397027
2015-04-15,28.213157225012154
2015-04-16,28.173058935969184
2015-04-17,27.873785749835857
2015-04-20,28.285186486556615
2015-04-21,28.35128262599112
2015-04-22,28.50203018587423
2015-04-23,28.830265990635624
2015-04-24,28.972103673760675
2015-04-27,29.476329256750052
2015-04-28,29.308507928669364
2015-04-29,28.85253877691595
2015-04-30,28.098055514197657
2015-05-01,28.54436579723684
2015-05-04,28.77828596444432
2015-05-05,28.221323217236293
2015-05-06,27.856706468495034
2015-05-07,27.990959499418945
2015-05-08,28.43764104899519
2015-05-11,28.300426454803258
2015-05-12,28.15576324313228
2015-05-13,28.267621176651584
2015-05-14,28.714296788102942
2015-05-15,28.81945154412816
2015-05-18,29.028246323869293
2015-05-19,29.12668100254051
2015-05-20,29.11101763624973
2015-05-21,29.29520932571718
2015-05-22,29.59796847694145
2015-05-26,29.20573056854508
2015-05-27,29.407065056272163
2015-05-28,29.442859484763513
2015-05-29,29.20422573093308
2015-06-01,29.230332224888116
2015-06-02,29.07820645240842
2015-06-03,29.15427445302197
2015-06-04,28.996926504907407
2015-06-05,28.83659380921176
2015-06-08,28.623326550805402
2015-06-09,28.420494298830402
2015-06-10,28.789621945582645
2015-06-11,28.877610978562142
2015-06-12,28.531602048107118
2015-06-15,28.327276209945484
2015-06-16,28.472685696349362
2015-06-17,28.4801378318337
2015-06-18,28.591258874955958
2015-06-19,28.398122354299357
2015-06-22,28.542038336337225
2015-06-23,28.450320396855204
2015-06-24,28.71206063054541
2015-06-25,28.650164041768843
2015-06-26,28.430186597082972
2015-06-29,27.999908393104917
2015-06-30,28.069264808853685
2015-07-01,28.30192571582013
2015-07-02,28.254947986329313
2015-07-06,28.119232418223408
2015-07-07,28.009612248063846
2015-07-08,27.572617024094185
2015-07-09,27.095364600915218
2015-07-10,27.467473976468387
2015-07-13,28.0193002981546
2015-07-14,28.11475460747619
2015-07-15,28.30341374946018
2015-07-16,28.667320863280562
2015-07-17,28.89998902519064
2015-07-20,29.510717244266775
2015-07-21,29.380217385380604
2015-07-22,27.793345759906057
2015-07-23,28.136374236776685
2015-07-24,27.899989791764288
2015-07-27,27.479405900889706
2015-07-28,27.579329447088693
2015-07-29,27.498792144219163
2015-07-30,27.341455965724645
2015-07-31,27.207219530268357
2015-08-03,26.73593710718345
2015-08-04,25.770983436651466
2015-08-05,25.722517216135625
2015-08-06,25.899619737163942
2015-08-07,25.938573662404465
2015-08-10,26.685412866453287
2015-08-11,25.843434908907422
2015-08-12,25.49062178811433
2015-08-13,25.925090990850578
2015-08-14,25.939323873316777
2015-08-17,26.24120067888138
2015-08-18,26.21424163841978
2015-08-19,25.934079373662996
2015-08-20,25.366271564303982
2015-08-21,24.21867173763718
2015-08-24,22.766197801518413
2015-08-25,23.847120577957057
2015-08-26,24.317554364300022
2015-08-27,25.182742982212115
2015-08-28,25.32956595752082
2015-08-31,25.415716488008233
2015-09-01,24.49208761761057
2015-09-02,25.005210243131902
2015-09-03,24.958770640982895
2015-09-04,24.587225260010538
2015-09-08,25.108583377557505
2015-09-09,25.014947115854756
2015-09-10,25.1505388170948
2015-09-11,25.48238314797457
2015-09-14,25.99775009480905
2015-09-15,26.010483593457366
2015-09-16,26.097385370496834
2015-09-17,25.77826810416855
2015-09-18,25.440432949562368
2015-09-21,25.786510399528495
2015-09-22,25.47638396650298
2015-09-23,25.64418322742311
2015-09-24,25.68388795329969
2015-09-25,25.874895130093048
2015-09-28,25.427703401399622
